Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773491578	0	1143	4204	0	7048	6708	0	86	0	66	1	467	1	0	0	1	1
1773491580	2	1145	4204	0	7048	6708	0	86	0	28937	67	43173	63	0	0	1	1
1773491582	4	1143	4204	0	7048	6708	0	86	0	57132	130	85695	120	0	0	1	1
1773491584	6	1142	4204	0	7048	6708	0	86	0	57132	130	85695	120	0	0	1	1
1773491586	8	1142	4204	0	7048	6708	0	86	0	59718	151	93650	140	0	0	1	1
1773491588	10	1143	4204	0	7048	6708	0	86	0	65811	167	101374	155	0	0	1	1
1773491590	12	1143	4204	0	7048	6708	0	86	0	85070	218	128144	202	0	0	1	1
1773491592	14	1143	4204	0	7048	6708	0	86	0	122888	297	187012	281	0	0	1	1
1773491594	16	1143	4204	0	7048	6708	0	86	0	122954	298	187174	282	0	0	1	1
1773491596	18	1144	4204	0	7048	6708	0	86	0	122954	298	187174	282	0	0	1	1
1773491598	20	1145	4204	0	7048	6708	0	86	0	122954	298	187174	282	0	0	1	1
1773491600	22	1145	4204	0	7048	6708	0	86	0	123020	299	187240	283	0	0	1	1
1773491602	24	1143	4204	0	7048	6708	0	86	0	123020	299	187240	283	0	0	1	1
1773491604	25	1144	4204	0	7048	6708	0	86	0	123124	301	187344	285	0	0	1	1
1773491606	27	1143	4204	0	7048	6708	0	86	0	123228	303	187448	287	0	0	1	1
1773491608	29	1143	4204	0	7048	6708	0	86	0	123398	306	187618	290	0	0	1	1
1773491610	31	1143	4204	0	7048	6708	0	86	0	123398	306	187618	290	0	0	1	1
1773491612	33	1142	4204	0	7048	6708	0	86	0	127668	325	191363	307	0	0	1	1
1773491614	35	1144	4204	0	7048	6708	0	86	0	127668	325	191363	307	0	0	1	1
1773491616	37	1143	4204	0	7048	6708	0	86	0	130605	347	199846	326	0	0	1	1
1773491618	39	1142	4204	0	7048	6708	0	86	0	130671	348	199912	327	0	0	1	1
1773491620	41	1143	4204	0	7048	6708	0	86	0	130775	350	200016	329	0	0	1	1
